"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"501"	31	1	"04/19/16 12:30:24"	1461068924.27816	-42.052	1.875	-39.287	1.109	-8.144	2.151	3.921	0.009	0.043	0	3.951	0.006	0.043	0	127.506	0.15	1.449	0.003	1.104	0.001	0	NA	NA	NA	NA	NA	NA	"26"	26	5	834	" mtotal=872.42. Pssim=833.7 Torr. following injections with 25mL syringe because 10mL syringe got wet and cant be dried out quickly."	"04/19/16"	"12:30:24"	1461068924.27816	3.994	3.964	128.955	NA	NA	1025.95	11	769.525783366065	4.33513739514698	0	-39.287
"502"	32	1	"04/19/16 12:40:19"	1461069519.37053	-41.715	1.975	-39.357	1.393	-8.395	1.847	3.987	0.01	0.044	0	4.011	0.006	0.044	0	129.491	0.136	1.467	0.003	0.939	0.001	0	NA	NA	NA	NA	NA	NA	"26"	26	5	834	" mtotal=872.42. "	"04/19/16"	"12:40:19"	1461069519.37053	4.055	4.031	130.958	NA	NA	1025.95	11	769.525783366065	4.33513739514698	0	-39.357
"503"	33	1	"04/19/16 12:51:33"	1461070193.51494	-42.527	1.843	-38.544	1.314	-7.711	1.66	4.29	0.009	0.047	0	4.329	0.006	0.048	0	157.113	0.154	1.798	0.003	1.43	0.004	0	NA	NA	NA	NA	NA	NA	"29"	29	5	834	" mtotal=755.10. Pssim=834.2 Torr. back to 10mL syringe after drying with UHP N2."	"04/19/16"	"12:51:33"	1461070193.51494	4.377	4.337	158.911	NA	NA	1025.95	11	769.525783366065	4.33513739514698	0	-38.544
"504"	34	1	"04/19/16 13:02:14"	1461070832.98363	-43.256	2.245	-38.311	1.387	-7.491	1.799	3.455	0.008	0.038	0	3.495	0.005	0.038	0	129.095	0.14	1.478	0.003	1.439	0.004	0	NA	NA	NA	NA	NA	NA	"29"	29	4	834	" mtotal=755.10. accidentally 4mL ONLY"	"04/19/16"	"13:02:14"	1461070832.98363	3.533	3.493	130.573	NA	NA	1025.95	11	769.525783366065	5.41892174393372	0	-38.311
"505"	35	1	"04/19/16 13:13:02"	1461071481.84351	-41.713	1.557	-38.283	1.194	-8.281	1.72	4.445	0.008	0.049	0	4.482	0.007	0.049	0	154.692	0.142	1.765	0.004	1.324	0.005	0	NA	NA	NA	NA	NA	NA	"33"	33	5	834	" mtotal=729.12. "	"04/19/16"	"13:13:02"	1461071481.84351	4.531	4.494	156.457	NA	NA	1025.95	11	769.525783366065	4.33513739514698	0	-38.283
"506"	36	1	"04/19/16 13:25:56"	1461072255.28508	-40.676	1.473	-38.046	1.284	-8.461	1.901	4.27	0.008	0.047	0	4.297	0.007	0.047	0	139.825	0.141	1.586	0.003	1.019	0.002	0	NA	NA	NA	NA	NA	NA	"33"	33	5	834	" mtotal=729.12. Pssim=833.7 Torr. after drying syringe with UHP N2."	"04/19/16"	"13:25:56"	1461072255.28508	4.344	4.317	141.411	NA	NA	1025.95	11	769.525783366065	4.33513739514698	0	-38.046
"507"	37	1	"04/19/16 13:35:46"	1461072845.49262	-39.809	1.687	-38.34	1.171	-9.679	2.023	4.231	0.009	0.046	0	4.246	0.006	0.046	0	138.945	0.138	1.564	0.003	0.664	0.002	0	NA	NA	NA	NA	NA	NA	"33"	33	5	834	" mtotal=729.12."	"04/19/16"	"13:35:46"	1461072845.49262	4.292	4.277	140.509	NA	NA	1025.95	11	769.525783366065	4.33513739514698	0	-38.34
"508"	38	1	"04/19/16 13:45:58"	1461073457.52175	-39.907	1.639	-39.491	1.304	-9.737	1.506	4.364	0.009	0.047	0	4.374	0.007	0.047	0	155.124	0.146	1.74	0.003	0.455	0.002	0	NA	NA	NA	NA	NA	NA	"37"	37	5	834	" mtotal=740.4. Pssim=834.2 "	"04/19/16"	"13:45:58"	1461073457.52175	4.421	4.411	156.864	NA	NA	1025.95	11	769.525783366065	4.33513739514698	0	-39.491
"509"	39	1	"04/19/16 13:56:12"	1461074072.94046	-40.27	1.468	-39.837	1.163	-9.566	1.569	4.34	0.009	0.047	0	4.346	0.007	0.047	0	157.304	0.152	1.762	0.003	0.376	0.002	0	NA	NA	NA	NA	NA	NA	"37"	37	5	834	" mtotal=740.4."	"04/19/16"	"13:56:12"	1461074072.94046	4.393	4.387	159.066	NA	NA	1025.95	11	769.525783366065	4.33513739514698	0	-39.837
"517"	47	1	"04/19/16 15:43:18"	1461080498.48258	-39.168	0.932	-40.36	0.62	-9.668	2.29	9.086	0.015	0.098	0	9.081	0.015	0.098	0	109.66	0.111	1.221	0.003	0.046	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	3	834	" mtotal=924.5. Pssim=834.1 "	"04/19/16"	"15:43:18"	1461080498.48258	9.179	9.184	110.881	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-40.36
"518"	48	1	"04/19/16 15:53:08"	1461081088.9528	-39.691	0.736	-39.906	0.745	-8.267	2.006	8.927	0.014	0.097	0	8.938	0.014	0.097	0	134.437	0.142	1.513	0.003	0.574	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	3	834	" mtotal=924.5. "	"04/19/16"	"15:53:08"	1461081088.9528	9.035	9.024	135.95	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-39.906
"519"	49	1	"04/19/16 16:06:14"	1461081874.32987	-37.771	0.869	-36.593	0.557	-5.257	3.207	8.458	0.015	0.093	0	8.488	0.013	0.093	0	85.748	0.117	0.978	0.004	1.144	0.001	0	NA	NA	NA	NA	NA	NA	"11"	11	3	834	" mtotal=820.85. Pssim=834.4 "	"04/19/16"	"16:06:14"	1461081874.32987	8.581	8.551	86.726	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.593
"520"	50	1	"04/19/16 16:16:51"	1461082510.18499	-37.971	0.969	-36.73	0.779	-5.779	3.343	8.484	0.013	0.094	0	8.52	0.013	0.094	0	87.911	0.117	1.005	0.004	1.284	0.003	0	NA	NA	NA	NA	NA	NA	"11"	11	3	834	" mtotal=820.85. "	"04/19/16"	"16:16:51"	1461082510.18499	8.614	8.578	88.916	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.73
"521"	51	1	"04/19/16 16:27:24"	1461083144.73945	-37.907	0.958	-36.47	0.558	-4.55	3.192	8.736	0.016	0.097	0	8.774	0.013	0.097	0	84.485	0.093	0.968	0.003	1.357	0.004	0	NA	NA	NA	NA	NA	NA	"14"	14	3	834	" mtotal=778.22. Pssim=834.3 "	"04/19/16"	"16:27:24"	1461083144.73945	8.871	8.833	85.453	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.47
"522"	52	1	"04/19/16 16:39:59"	1461083898.49031	-38.035	0.896	-36.594	0.68	-6.067	2.735	8.739	0.014	0.097	0	8.774	0.013	0.097	0	86.488	0.109	0.989	0.003	1.313	0.004	0	NA	NA	NA	NA	NA	NA	"14"	14	3	834	" mtotal=778.22."	"04/19/16"	"16:39:59"	1461083898.49031	8.871	8.836	87.477	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.594
"523"	53	1	"04/19/16 16:50:07"	1461084507.08288	-37.642	0.971	-36.465	0.664	-6.487	2.615	8.469	0.015	0.093	0	8.497	0.013	0.093	0	92.313	0.109	1.051	0.003	1.089	0.002	0	NA	NA	NA	NA	NA	NA	"17"	17	3	834	" mtotal=892.68. Pssim=834.2 "	"04/19/16"	"16:50:07"	1461084507.08288	8.59	8.562	93.364	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.465
"524"	54	1	"04/19/16 17:01:31"	1461085191.33518	-38.015	1.049	-36.577	0.609	-7.203	2.912	8.154	0.015	0.09	0	8.186	0.013	0.09	0	89.486	0.108	1.02	0.003	1.221	0.003	0	NA	NA	NA	NA	NA	NA	"17"	17	3	834	" mtotal=892.68."	"04/19/16"	"17:01:31"	1461085191.33518	8.276	8.244	90.506	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.577
"525"	55	1	"04/19/16 17:11:53"	1461085811.86494	-37.418	1.129	-36.726	0.739	-9.88	2.277	8.344	0.014	0.092	0	8.367	0.013	0.092	0	101.445	0.129	1.147	0.003	0.903	0.002	0	NA	NA	NA	NA	NA	NA	"17"	17	3	834	" mtotal=892.68."	"04/19/16"	"17:11:53"	1461085811.86494	8.459	8.436	102.592	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.726
"526"	56	1	"04/19/16 17:22:25"	1461086443.70312	-36.909	0.881	-36.526	0.721	-9.161	2.413	7.844	0.015	0.086	0	7.86	0.012	0.086	0	99.304	0.123	1.119	0.003	0.688	0.002	0	NA	NA	NA	NA	NA	NA	"20"	20	3	834	" mtotal=830.48. Pssim=834.2 "	"04/19/16"	"17:22:25"	1461086443.70312	7.946	7.93	100.423	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.526
"527"	57	1	"04/19/16 17:32:25"	1461087044.71099	-37.071	0.868	-36.668	0.735	-9.913	3.142	7.856	0.012	0.086	0	7.867	0.013	0.086	0	97.764	0.121	1.099	0.004	0.577	0.002	0	NA	NA	NA	NA	NA	NA	"20"	20	3	834	" mtotal=830.48"	"04/19/16"	"17:32:25"	1461087044.71099	7.953	7.942	98.863	NA	NA	1025.95	11	769.525783366065	7.22522899191163	0	-36.668
"549"	15	1	"04/20/16 09:48:54"	1461145633.46617	-22.481	0.166	9999999	0	-19.973	10.912	79.001	0.124	0.868	0.001	62.445	0	9999999	0	25.317	0.077	0.279	0.003	0.025	0	0	NA	NA	NA	NA	NA	NA	"27"	27	1	835	" mtotal=755.23. Pssim=835.1 Torr. 1mL glass syringe."	"04/20/16"	"09:48:54"	1461145633.46617	10000061.445	79.869	25.596	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"550"	16	1	"04/20/16 09:58:50"	1461146228.68819	-22.385	0.153	9999999	0	-19.428	9.328	80.228	0.123	0.882	0.001	51.969	0	9999999	0	26.023	0.077	0.287	0.003	0.03	0.001	0	NA	NA	NA	NA	NA	NA	"27"	27	1	835	" mtotal=755.23."	"04/20/16"	"09:58:50"	1461146228.68819	10000050.969	81.11	26.31	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"551"	17	1	"04/20/16 10:08:38"	1461146817.53795	-22.375	0.142	9999999	0	-19.403	9.75	88.492	0.135	0.973	0.001	71.202	0	9999999	0	27.281	0.083	0.301	0.003	0.041	0.001	0	NA	NA	NA	NA	NA	NA	"30"	30	1	835	" mtotal=494.79. Pssim=835.0 Torr."	"04/20/16"	"10:08:38"	1461146817.53795	10000070.202	89.465	27.582	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"552"	18	1	"04/20/16 10:18:49"	1461147429.22913	-22.542	0.162	9999999	0	-0.063	9.578	87.671	0.136	0.965	0.001	64.9	0	9999999	0	26.35	0.081	0.297	0.003	0.161	0.001	0	NA	NA	NA	NA	NA	NA	"30"	30	1	835	" mtotal=494.79."	"04/20/16"	"10:18:49"	1461147429.22913	10000063.9	88.636	26.647	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"553"	19	1	"04/20/16 10:28:35"	1461148014.53582	-22.344	0.171	9999999	0	-4.715	8.466	74.149	0.116	0.816	0.001	53.38	0	9999999	0	26.191	0.098	0.294	0.003	0.141	0.001	0	NA	NA	NA	NA	NA	NA	"34"	34	1	835	" mtotal=477.33. Pssim=834.8 Torr."	"04/20/16"	"10:28:35"	1461148014.53582	10000052.38	74.965	26.485	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"554"	20	1	"04/20/16 10:38:33"	1461148612.83026	-22.34	0.173	9999999	0	-8.514	7.928	73.897	0.115	0.813	0.001	55.275	0	9999999	0	26.264	0.084	0.293	0.002	0.109	0.001	0	NA	NA	NA	NA	NA	NA	"34"	34	1	835	" mtotal=477.33. "	"04/20/16"	"10:38:33"	1461148612.83026	10000054.275	74.71	26.557	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"555"	21	1	"04/20/16 10:48:37"	1461149216.85245	-22.378	0.163	9999999	0	-5.809	8.335	80.419	0.121	0.885	0.001	57.325	0	9999999	0	31.121	0.077	0.348	0.003	0.126	0.001	0	NA	NA	NA	NA	NA	NA	"38"	38	1	835	" mtotal=762.58. Pssim=835.2 Torr."	"04/20/16"	"10:48:37"	1461149216.85245	10000056.325	81.304	31.469	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"556"	22	1	"04/20/16 10:59:14"	1461149853.95792	-22.413	0.182	9999999	0	8.118	6.126	80.093	0.123	0.884	0.001	58.087	0	9999999	0	30.156	0.079	0.343	0.002	0.297	0.001	0	NA	NA	NA	NA	NA	NA	"38"	38	1	835	" mtotal=762.58."	"04/20/16"	"10:59:14"	1461149853.95792	10000057.087	80.977	30.499	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"557"	23	1	"04/20/16 11:10:25"	1461150524.50843	-22.433	0.145	9999999	0	-0.412	11.538	72.363	0.111	0.798	0.001	54.226	0	9999999	0	25.423	0.088	0.287	0.003	0.215	0.001	0	NA	NA	NA	NA	NA	NA	"25"	25	1	835	" mtotal=1020.11. Pssim=835.2 Torr."	"04/20/16"	"11:10:25"	1461150524.50843	10000053.226	73.161	25.71	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"558"	24	1	"04/20/16 11:20:54"	1461151153.87498	-22.409	0.157	9999999	0	-2.634	9.593	72.501	0.114	0.799	0.001	59.588	0	9999999	0	25.51	0.079	0.287	0.003	0.168	0.001	0	NA	NA	NA	NA	NA	NA	"25"	25	1	835	" mtotal=1020.11."	"04/20/16"	"11:20:54"	1461151153.87498	10000058.588	73.3	25.797	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"559"	25	1	"04/20/16 11:30:53"	1461151753.19806	-22.329	0.188	9999999	0	-6.326	8.499	75.006	0.116	0.826	0.001	54.218	0	9999999	0	27.212	0.079	0.305	0.003	0.165	0.001	0	NA	NA	NA	NA	NA	NA	"28"	28	1	835	" mtotal=928.88. Pssim=835.2 Torr."	"04/20/16"	"11:30:53"	1461151753.19806	10000053.218	75.832	27.517	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"560"	26	1	"04/20/16 11:40:54"	1461152353.32829	-22.485	0.17	9999999	0	13.44	8.013	75.568	0.115	0.835	0.001	55.502	0	9999999	0	26.845	0.072	0.308	0.003	0.367	0.001	0	NA	NA	NA	NA	NA	NA	"28"	28	1	835	" mtotal=928.88."	"04/20/16"	"11:40:54"	1461152353.32829	10000054.502	76.403	27.153	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"561"	27	1	"04/20/16 11:50:49"	1461152949.60009	-22.357	0.127	9999999	0	0.502	9.284	78.086	0.115	0.862	0.001	63.436	0	9999999	0	26.001	0.083	0.294	0.003	0.301	0.001	0	NA	NA	NA	NA	NA	NA	"32"	32	1	835	" mtotal=850.32."	"04/20/16"	"11:50:49"	1461152949.60009	10000062.436	78.948	26.295	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"562"	28	1	"04/20/16 12:00:42"	1461153542.30976	-22.304	0.15	9999999	0	-6.166	8.661	78.883	0.124	0.87	0.001	60.528	0	9999999	0	26.427	0.094	0.296	0.003	0.211	0.001	0	NA	NA	NA	NA	NA	NA	"32"	32	1	835	" mtotal=850.32. Pssim=835.2 Torr."	"04/20/16"	"12:00:42"	1461153542.30976	10000059.528	79.753	26.723	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"563"	29	1	"04/20/16 12:10:40"	1461154139.79925	-22.382	0.154	9999999	0	-10.674	8.831	79.267	0.121	0.873	0.001	65.157	0	9999999	0	28.711	0.085	0.32	0.003	0.151	0.001	0	NA	NA	NA	NA	NA	NA	"35"	35	1	835	" mtotal=790.55. Pssim=835.2 Torr."	"04/20/16"	"12:10:40"	1461154139.79925	10000064.157	80.14	29.031	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"564"	30	1	"04/20/16 12:21:08"	1461154768.35695	-22.343	0.146	9999999	0	-8.296	8.798	80.166	0.123	0.883	0.001	64.075	0	9999999	0	30.336	0.082	0.339	0.003	0.156	0.001	0	NA	NA	NA	NA	NA	NA	"35"	35	1	835	" mtotal=790.55."	"04/20/16"	"12:21:08"	1461154768.35695	10000063.075	81.049	30.675	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"565"	31	1	"04/20/16 12:32:43"	1461155463.11677	-22.434	0.15	9999999	0	-2.579	8.122	79.165	0.118	0.873	0.001	61.809	0	9999999	0	31.031	0.081	0.349	0.003	0.243	0.001	0	NA	NA	NA	NA	NA	NA	"36"	36	1	835	" mtotal=862.82. Pssim=835.2 Torr."	"04/20/16"	"12:32:43"	1461155463.11677	10000060.809	80.038	31.38	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"566"	32	1	"04/20/16 12:43:45"	1461156124.11586	-22.474	0.165	9999999	0	7.115	8.269	79.475	0.122	0.878	0.001	55.86	0	9999999	0	30.663	0.07	0.349	0.003	0.397	0.001	0	NA	NA	NA	NA	NA	NA	"36"	36	1	835	" mtotal=862.82."	"04/20/16"	"12:43:45"	1461156124.11586	10000054.86	80.353	31.012	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"567"	33	1	"04/20/16 12:56:34"	1461156894.45308	-22.634	0.156	9999999	0	403.214	205.582	81.533	0.123	0.899	0.001	66.336	0	9999999	0	1.215	0.055	0.019	0.003	0.279	0.001	0	NA	NA	NA	NA	NA	NA	"39"	44	1	835	" mtotal=652.45. Pssim=835.3 Torr. NaOH killed."	"04/20/16"	"12:56:34"	1461156894.45308	10000065.336	82.432	1.234	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"568"	34	1	"04/20/16 13:07:53"	1461157573.95528	-22.611	0.177	9999999	0	415.094	211.267	81.143	0.115	0.894	0.001	59.744	0	9999999	0	0.942	0.066	0.015	0.002	0.219	0.001	0	NA	NA	NA	NA	NA	NA	"39"	44	1	835	" mtotal=652.45. NaOH killed."	"04/20/16"	"13:07:53"	1461157573.95528	10000058.744	82.037	0.957	NA	NA	1027.94	12	771.018406114638	21.6596645003012	0	9999999
"585"	51	1	"04/20/16 16:24:04"	1461169343.72264	-38.702	0.839	-39.688	0.571	-11.067	2.384	9.156	0.017	0.099	0	9.149	0.015	0.099	0	119.744	0.111	1.331	0.003	0.023	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	3	834	" mtotal=924.5. Pssim=834.3. "	"04/20/16"	"16:24:04"	1461169343.72264	9.248	9.255	121.075	NA	NA	1027.94	12	771.018406114638	7.21124159411224	0	-39.688
"586"	52	1	"04/20/16 16:34:39"	1461169979.52481	-38.549	0.848	-39.639	0.535	-10.226	1.898	9.077	0.014	0.098	0	9.071	0.014	0.098	0	119.591	0.106	1.331	0.003	0.02	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	3	834	" mtotal=924.5. "	"04/20/16"	"16:34:39"	1461169979.52481	9.169	9.175	120.922	NA	NA	1027.94	12	771.018406114638	7.21124159411224	0	-39.639
"587"	53	1	"04/20/16 16:46:19"	1461170677.94804	-38.52	0.816	-39.937	0.65	-10.331	1.731	9.125	0.014	0.099	0	9.121	0.014	0.098	0	120.362	0.122	1.339	0.003	0.015	0	0	NA	NA	NA	NA	NA	NA	"8"	8	3	834	" mtotal=924.5. "	"04/20/16"	"16:46:19"	1461170677.94804	9.219	9.224	121.701	NA	NA	1027.94	12	771.018406114638	7.21124159411224	0	-39.937
"588"	54	1	"04/20/16 16:56:15"	1461171275.79549	-35.959	0.841	-36.784	0.612	-10.716	2.351	8.757	0.013	0.095	0	8.751	0.014	0.095	0	97.532	0.119	1.085	0.003	0.021	0.001	0	NA	NA	NA	NA	NA	NA	"11"	11	3	834	" mtotal=820.85."	"04/20/16"	"16:56:15"	1461171275.79549	8.846	8.852	98.617	NA	NA	1027.94	12	771.018406114638	7.21124159411224	0	-36.784
"589"	55	1	"04/20/16 17:06:10"	1461171869.48852	-35.926	0.978	-36.698	0.651	-9.702	2.746	8.77	0.016	0.095	0	8.764	0.014	0.095	0	98.029	0.094	1.091	0.003	0.021	0	0	NA	NA	NA	NA	NA	NA	"11"	11	3	835	" mtotal=820.85. Pssim=834.8."	"04/20/16"	"17:06:10"	1461171869.48852	8.859	8.865	99.12	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.698
"590"	56	1	"04/20/16 17:17:12"	1461172530.73521	-35.95	0.82	-36.75	0.554	-10.17	2.577	9.118	0.015	0.099	0	9.111	0.014	0.099	0	98.322	0.114	1.094	0.003	0.017	0.001	0	NA	NA	NA	NA	NA	NA	"14"	14	3	835	" mtotal=778.22. Pssim=834.6 "	"04/20/16"	"17:17:12"	1461172530.73521	9.21	9.217	99.416	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.75
"591"	57	1	"04/20/16 17:27:39"	1461173158.59423	-35.907	0.825	-36.804	0.623	-10.263	2.615	9.177	0.015	0.099	0	9.171	0.014	0.099	0	97.313	0.13	1.083	0.003	0.018	0.001	0	NA	NA	NA	NA	NA	NA	"14"	14	3	835	" mtotal=778.22. "	"04/20/16"	"17:27:39"	1461173158.59423	9.27	9.276	98.396	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.804
"592"	58	1	"04/20/16 17:38:57"	1461173837.01748	-35.679	0.682	-36.577	0.645	-10.302	2.931	8.463	0.014	0.092	0	8.458	0.013	0.092	0	96.546	0.098	1.074	0.003	0.013	0.001	0	NA	NA	NA	NA	NA	NA	"17"	17	3	835	" mtotal=892.68. Pssim=834.8 "	"04/20/16"	"17:38:57"	1461173837.01748	8.55	8.555	97.62	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.577
"593"	59	1	"04/20/16 17:49:27"	1461174467.03715	-35.917	0.971	-36.576	0.709	-9.998	2.671	8.547	0.013	0.093	0	8.539	0.013	0.092	0	96.816	0.103	1.077	0.003	0.016	0.001	0	NA	NA	NA	NA	NA	NA	"17"	17	3	835	" mtotal=892.68."	"04/20/16"	"17:49:27"	1461174467.03715	8.631	8.64	97.893	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.576
"594"	60	1	"04/20/16 18:02:17"	1461175238.0961	-35.72	0.874	-36.552	0.716	-9.733	3.024	8.076	0.014	0.088	0	8.071	0.012	0.087	0	96.421	0.112	1.073	0.004	0.009	0	0	NA	NA	NA	NA	NA	NA	"20"	20	3	835	" mtotal=830.48. Pssim=834.6 "	"04/20/16"	"18:02:17"	1461175238.0961	8.158	8.164	97.494	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.552
"595"	61	1	"04/20/16 18:12:27"	1461175846.71314	-36.779	0.99	-36.609	0.705	-6.907	2.686	8.12	0.014	0.088	0	8.114	0.013	0.088	0	96.142	0.106	1.076	0.003	0.19	0	0	NA	NA	NA	NA	NA	NA	"20"	20	3	835	" mtotal=830.48."	"04/20/16"	"18:12:27"	1461175846.71314	8.202	8.208	97.218	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.609
"600"	66	1	"04/20/16 19:09:43"	1461179282.27711	-37.269	0.835	-36.361	0.627	-3.391	2.538	8.692	0.014	0.095	0	8.687	0.014	0.094	0	97.952	0.09	1.104	0.003	0.356	0.001	0	NA	NA	NA	NA	NA	NA	"23"	23	3	835	" mtotal=871.68. "	"04/20/16"	"19:09:43"	1461179282.27711	8.781	8.787	99.056	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.361
"601"	67	1	"04/20/16 19:20:43"	1461179941.70111	-38.447	0.96	-36.162	0.61	2.046	2.503	8.741	0.014	0.096	0	8.741	0.014	0.096	0	97.506	0.125	1.113	0.003	0.75	0.001	0	NA	NA	NA	NA	NA	NA	"23"	23	3	835	" mtotal=871.68. "	"04/20/16"	"19:20:43"	1461179941.70111	8.837	8.837	98.619	NA	NA	1027.94	12	771.018406114638	7.21988816676705	0	-36.162
"629"	8	1	"05/20/16 13:03:26"	1463763710.65804	-29.723	0.971	-28.871	0.841	-8.632	1.132	6.375	0.011	0.07	0	6.366	0.01	0.07	0	212.633	0.8	2.372	0.009	0.07	0.003	0	NA	NA	NA	NA	NA	NA	"8"	8	3	845	" mtotal=924.5. mtotal May=925.88. Pssim=845Torr."	"05/20/16"	"13:03:26"	1463763710.65804	6.436	6.445	215.005	NA	NA	1021.21	14	765.970490990067	7.35450438312823	0	-28.871
"630"	9	1	"05/20/16 13:14:10"	1463764354.42937	-29.93	1.221	-29.289	0.914	-9.386	1.145	6.572	0.013	0.072	0	6.565	0.01	0.072	0	215.001	0.831	2.397	0.01	0.085	0.004	0	NA	NA	NA	NA	NA	NA	"8"	8	3	845	" mtotal=924.5. mtotal May=925.88 with tape. tape approx 0.8g Pssim=845Torr."	"05/20/16"	"13:14:10"	1463764354.42937	6.637	6.644	217.398	NA	NA	1021.21	14	765.970490990067	7.35450438312823	0	-29.289
"631"	10	1	"05/20/16 13:26:21"	1463765084.34346	-29.331	1.297	-27.123	0.871	-8.127	1.521	6.115	0.013	0.067	0	6.115	0.01	0.067	0	181.034	0.809	2.032	0.009	0.405	0.004	0	NA	NA	NA	NA	NA	NA	"11"	11	3	845	" mtotal=820.85. mtotal May=823.17. Pssim=845Torr."	"05/20/16"	"13:26:21"	1463765084.34346	6.182	6.182	183.066	NA	NA	1021.21	14	765.970490990067	7.35450438312823	0	-27.123
"632"	11	1	"05/20/16 13:37:58"	1463765782.21237	-34.291	1.349	-27.889	0.855	-4.403	0.866	6.092	0.012	0.067	0	6.09	0.009	0.067	0	281.019	0.832	3.199	0.009	0.975	0.005	0	NA	NA	NA	NA	NA	NA	"11"	11	3	845	" mtotal=820.85. mtotal May=823.17. Pssim=845Torr."	"05/20/16"	"13:37:58"	1463765782.21237	6.157	6.159	284.218	NA	NA	1021.21	14	765.970490990067	7.35450438312823	0	-27.889
"633"	12	1	"05/20/16 13:48:55"	1463766439.64185	-30.38	0.952	-27.057	0.727	-6.97	1.445	6.592	0.011	0.073	0	6.597	0.01	0.073	0	178.5	0.821	2.017	0.01	0.713	0.006	0	NA	NA	NA	NA	NA	NA	"14"	14	3	844	" mtotal=778.22. mtotal May=781.17. Pssim=844Torr."	"05/20/16"	"13:48:55"	1463766439.64185	6.67	6.665	180.517	NA	NA	1021.21	14	765.970490990067	7.34580082764524	0	-27.057
